id,type,companyId,text,impactMin,impactMax
1,good,corefab,"[단독] 코어팹, 글로벌 빅테크와 10조 원 규모 파운드리 독점 계약 체결!",15,25
2,bad,corefab,"[속보] 코어팹 핵심 공정 라인에서 화재 발생... 2개월간 가동 중단 위기",-25,-15
3,good,nextmemory,"[속보] 넥스트메모리, 경쟁사 대비 2배 빠른 차세대 HBM 세계 최초 양산 성공!",15,30
4,bad,nextmemory,"[단독] 넥스트메모리, 납품한 메모리에서 대규모 불량 발견... 전량 리콜 사태",-30,-15
5,good,nanodesign,"[속보] 나노디자인이 설계한 새로운 AI 가속기 칩 성능, 벤치마크 압도적 1위 달성!",20,35
6,bad,nanodesign,"[단독] 나노디자인, 핵심 설계 인력 50명 경쟁사로 단체 이직... 기술 유출 우려",-20,-10
7,good,gwangseong,"[속보] 광성레이저, EUV 대체 가능한 차세대 노광 장비 시제품 개발 성공!",15,25
8,bad,gwangseong,"[단독] 광성레이저, 핵심 부품 조달 실패로 장비 출하 6개월 지연 불가피",-25,-15
9,good,chemicalwave,"[속보] 케미칼웨이브, 원가 1/3 수준의 혁신적 식각액 특허 등록 완료!",15,25
10,bad,chemicalwave,"[단독] 케미칼웨이브 공장에서 독성 가스 누출 사고 발생... 무기한 조업 정지",-30,-20
11,good,packagingworld,"[속보] 패키징월드, 꿈의 3D 칩렛 패키징 기술 수율 90% 돌파 소식!",15,30
12,bad,packagingworld,"[단독] 패키징월드, 납기 지연으로 메이저 고객사와 수천억 원대 소송 휘말려",-25,-15
