id,type,question,options,answer,explain
1,OX,"반도체는 전기가 잘 통하는 도체와 안 통하는 부도체의 중간 성질을 가진 물질이다.","",O,"필요에 따라 전기를 통하게 하거나 통하지 않게 조절할 수 있는 것이 반도체입니다."
2,OX,"스마트폰이나 컴퓨터에서 기억(저장)을 담당하는 반도체는 '시스템 반도체'다.","",X,"정보를 기억하고 저장하는 것은 '메모리 반도체'이며, 연산과 제어를 담당하는 것이 '시스템 반도체'입니다."
3,CHOICE,"다음 중 전원이 꺼져도 저장된 데이터가 지워지지 않아 USB나 SSD 등에 사용되는 메모리 반도체는?","DRAM|SRAM|낸드 플래시|시스템 반도체",2,"낸드 플래시(NAND Flash)는 전원이 꺼져도 정보가 유지되는 비휘발성 메모리입니다."
4,CHOICE,"반도체를 만드는 둥근 판으로, 주로 모래에서 추출한 규소(실리콘)로 만드는 이것의 이름은?","웨이퍼|다이오드|플라스틱|마더보드",0,"웨이퍼(Wafer)는 반도체 집적회로를 만드는 둥근 실리콘 기판입니다."
5,OX,"반도체 공장을 의미하는 '팹(Fab)'은 Fabrication의 약자이다.","",O,"팹(Fab)은 반도체 제조 공장을 뜻하는 단어입니다."
6,CHOICE,"자체 공장 없이 반도체 회로 '설계'만을 전문으로 하는 기업 형태는?","파운드리|팹리스|IDM(종합반도체)|OSAT",1,"팹리스(Fabless)는 공장(Fab)이 없는(less) 설계 전문 기업입니다."
7,CHOICE,"설계 도면을 받아서 반도체를 대신 '생산(위탁 생산)'해주는 기업 형태는?","파운드리|팹리스|디자인하우스|장비업체",0,"파운드리(Foundry)는 위탁 생산만을 전문으로 하는 기업입니다."
8,OX,"반도체 제조 과정에서 먼지가 전혀 없는 청정한 방을 '클린룸'이라고 부른다.","",O,"아주 작은 먼지 하나도 반도체에 치명적이므로 먼지가 통제된 클린룸에서 제조합니다."
9,CHOICE,"컴퓨터의 뇌 역할을 하는 중앙처리장치로, 대표적인 시스템 반도체인 이것의 약자는?","CPU|RAM|SSD|HDD",0,"CPU(Central Processing Unit)는 컴퓨터의 핵심 연산 장치입니다."
10,OX,"DRAM은 작업 속도는 빠르지만 전원을 끄면 저장된 내용이 모두 지워지는 메모리다.","",O,"DRAM은 전원이 공급될 때만 데이터가 유지되는 휘발성 메모리로 주기억장치에 쓰입니다."
